SeriesDate,Inventory
9/26/2014,20505
10/3/2014,18929
10/10/2014,19645
10/17/2014,20598
10/24/2014,21374
10/31/2014,20823
11/7/2014,22527
11/14/2014,23245
11/21/2014,24579
11/28/2014,23885
12/5/2014,24905
12/12/2014,27825
12/19/2014,28798
12/26/2014,30793
1/2/2015,32098
1/9/2015,33874
1/16/2015,36783
1/23/2015,38868
1/30/2015,41384
2/6/2015,42598
2/13/2015,46261
2/20/2015,48680
2/27/2015,49216
3/6/2015,51538
3/13/2015,54403
3/20/2015,56314
3/27/2015,58943
4/3/2015,60175
4/10/2015,61462
4/17/2015,62200
4/24/2015,61686
5/1/2015,61674
5/8/2015,60684
5/15/2015,60443
5/22/2015,60010
5/29/2015,59027
6/5/2015,58003
6/12/2015,58115
6/19/2015,56245
6/26/2015,56368
7/3/2015,56667
7/10/2015,57105
7/17/2015,57918
7/24/2015,57706
7/31/2015,57164
8/7/2015,57113
8/14/2015,57439
8/21/2015,57695
8/28/2015,57307
9/4/2015,56410
9/11/2015,54504
9/18/2015,54042
9/25/2015,52974
10/2/2015,53072
10/9/2015,54197
10/16/2015,54119
10/23/2015,53334
10/30/2015,53122
11/6/2015,55359
11/13/2015,56854
11/20/2015,58598
11/27/2015,59026
12/4/2015,59449
12/11/2015,60056
12/18/2015,62101
12/25/2015,62993
1/1/2016,63910
1/8/2016,64007
1/15/2016,64198
1/22/2016,63427
1/29/2016,64174
2/5/2016,64697
2/12/2016,64733
2/19/2016,65066
2/26/2016,66256
3/4/2016,66946
3/11/2016,67491
3/18/2016,66233
3/25/2016,65961
4/1/2016,66318
4/8/2016,64551
4/15/2016,64303
4/22/2016,66049
4/29/2016,66292
5/6/2016,67812
5/13/2016,68273
5/20/2016,67624
5/27/2016,66920
6/3/2016,65557
6/10/2016,66461
6/17/2016,65181
6/24/2016,64230
7/1/2016,64148
7/8/2016,63916
7/15/2016,64105
7/22/2016,65215
7/29/2016,64092
8/5/2016,65255
8/12/2016,64531
8/19/2016,64906
8/26/2016,63867
9/2/2016,63433
9/9/2016,62188
9/16/2016,62714
9/23/2016,62083
9/30/2016,62652
10/7/2016,61334
10/14/2016,59699
10/21/2016,58362
10/28/2016,58451
11/4/2016,58479
11/11/2016,59170
11/18/2016,59083
11/25/2016,61502
12/2/2016,65285
12/9/2016,66508
12/16/2016,66263
12/23/2016,66435
12/30/2016,67509
1/6/2017,66930
1/13/2017,65656
1/20/2017,65372
1/27/2017,64127
2/3/2017,65270
2/10/2017,64568
2/17/2017,63040
2/24/2017,63535
3/3/2017,64402
3/10/2017,66532
3/17/2017,67951
3/24/2017,67731
3/31/2017,69144
4/7/2017,69420
4/14/2017,68642
4/21/2017,67439
4/28/2017,66711
5/5/2017,66273
5/12/2017,66308
5/19/2017,65567
5/26/2017,64820
6/2/2017,63376
6/9/2017,62220
6/16/2017,61140
6/23/2017,60843
6/30/2017,59509
7/7/2017,57561
7/14/2017,57538
7/21/2017,55839
7/28/2017,55800
8/4/2017,56369
8/11/2017,57047
8/18/2017,56544
8/25/2017,57233
9/1/2017,58030
9/8/2017,59053
9/15/2017,59756
9/22/2017,60937
9/29/2017,62462
10/6/2017,63784
10/13/2017,63986
10/20/2017,63749
10/27/2017,63839
11/3/2017,64559
11/10/2017,63055
11/17/2017,61228
11/24/2017,58314
12/1/2017,55561
12/8/2017,52244
12/15/2017,52998
12/22/2017,51414
12/29/2017,48973
1/5/2018,46578
1/12/2018,42394
1/19/2018,39244
1/26/2018,37020
2/2/2018,36309
2/9/2018,32667
2/16/2018,30003
2/23/2018,28785
3/2/2018,28180
3/9/2018,28518
3/16/2018,29423
3/23/2018,31227
3/30/2018,34893
4/6/2018,36022
4/13/2018,34907
4/20/2018,35366
4/27/2018,35782
5/4/2018,37170
5/11/2018,37223
5/18/2018,36100
5/25/2018,35544
6/1/2018,34589
6/8/2018,33902
6/15/2018,32606
6/22/2018,29893
6/29/2018,27780
7/6/2018,25718
7/13/2018,24858
7/20/2018,23731
7/27/2018,22393
8/3/2018,21803
8/10/2018,23446
8/17/2018,24218
8/24/2018,24276
8/31/2018,24825
9/7/2018,23583
9/14/2018,22333
9/21/2018,22794
9/28/2018,24493
10/5/2018,26852
10/12/2018,28628
10/19/2018,29999
10/26/2018,31877
11/2/2018,34296
11/9/2018,35463
11/16/2018,35347
11/23/2018,36524
11/30/2018,38253
12/7/2018,39401
12/14/2018,40492
12/21/2018,41291
12/28/2018,41932
1/4/2019,42262
1/11/2019,41519
1/18/2019,41329
1/25/2019,41184
2/1/2019,42625
2/8/2019,41609
2/15/2019,45022
2/22/2019,46650
3/1/2019,47523
3/8/2019,46851
3/15/2019,46383
3/22/2019,46924
3/29/2019,47125
4/5/2019,45992
4/12/2019,44449
4/19/2019,44912
4/26/2019,45177
5/3/2019,45998
5/10/2019,47803
5/17/2019,49069
5/24/2019,49053
5/31/2019,50844
6/7/2019,52940
6/14/2019,53582
6/21/2019,51836
6/28/2019,52488
7/5/2019,52178
7/12/2019,50827
7/19/2019,50398
7/26/2019,48865
8/2/2019,47361
8/9/2019,44821
8/16/2019,42336
8/23/2019,40356
8/30/2019,40126
9/6/2019,39328
9/13/2019,38681
9/20/2019,40937
9/27/2019,40736
10/4/2019,41677
10/11/2019,42953
10/18/2019,44459
10/25/2019,46031
11/1/2019,47745
11/8/2019,46516
11/15/2019,44221
11/22/2019,44124
11/29/2019,43822
12/6/2019,40429
12/13/2019,40164
12/20/2019,37771
12/27/2019,36322
1/3/2020,35501
1/10/2020,35843
1/17/2020,34882
1/24/2020,35640
1/31/2020,36708
2/7/2020,38376
2/14/2020,38243
2/21/2020,39149
2/28/2020,37178
3/6/2020,37882
3/13/2020,38445
3/20/2020,39303
3/27/2020,42824
4/3/2020,49241
4/10/2020,54965
4/17/2020,59741
